Id,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Age,Customer_Tenure,children,Is_Parent,Total_Spent
1826,1970,Graduation,Divorced,84835.0,0,0,2014-06-16,0,189.0,104.0,379.0,111.0,125.0,172.0,1,4,4,6,1,1,0,55,11,0,0,1080.0
1,1961,Graduation,Single,57091.0,0,0,2014-06-15,0,464.0,5.0,64.0,7.0,0.0,37.0,1,7,3,7,5,1,0,64,11,0,0,577.0
10476,1958,Graduation,Married,67267.0,0,1,2014-05-13,0,134.0,11.0,59.0,15.0,2.0,30.0,1,3,2,5,2,0,0,67,11,1,1,251.0
7348,1958,PhD,Single,71691.0,0,0,2014-03-17,0,336.0,120.0,411.0,173.0,32.0,43.0,1,4,7,5,2,1,0,67,11,0,0,1115.0
4073,1954,2n Cycle,Married,63564.0,0,0,2014-01-29,0,769.0,80.0,252.0,15.0,34.0,65.0,1,10,10,7,6,1,0,71,11,0,0,1215.0
1991,1967,Graduation,Together,44931.0,0,1,2014-01-18,0,78.0,0.0,11.0,0.0,0.0,7.0,1,2,1,3,5,0,0,58,11,1,1,96.0
2079,1947,2n Cycle,Married,81044.0,0,0,2013-12-27,0,450.0,26.0,535.0,73.0,98.0,26.0,1,5,6,10,1,0,0,78,12,0,0,1208.0
2964,1981,Graduation,Married,26872.0,0,0,2013-10-16,0,3.0,10.0,8.0,3.0,16.0,32.0,1,1,1,2,6,0,0,44,12,0,0,72.0
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53.0,1.0,5.0,2.0,1.0,10.0,2,2,0,3,8,0,0,65,12,1,1,72.0
2285,1954,Master,Together,36634.0,0,1,2013-05-28,0,213.0,9.0,76.0,4.0,3.0,30.0,3,5,2,5,7,0,0,71,12,1,1,335.0
115,1966,Master,Single,43456.0,0,1,2013-03-26,0,275.0,11.0,68.0,25.0,7.0,7.0,3,5,1,8,5,0,0,59,12,1,1,393.0
10470,1979,Master,Married,40662.0,1,0,2013-03-15,0,40.0,2.0,23.0,0.0,4.0,23.0,2,2,1,3,4,0,0,46,12,1,1,92.0
10968,1969,Graduation,Single,57731.0,0,1,2012-11-23,0,266.0,21.0,300.0,65.0,8.0,44.0,4,8,8,6,6,0,0,56,13,1,1,704.0
5985,1965,Master,Single,33168.0,0,1,2012-10-13,0,80.0,1.0,37.0,0.0,1.0,3.0,3,2,1,4,7,0,0,60,13,1,1,122.0
5430,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454.0,0.0,171.0,8.0,19.0,32.0,12,9,2,8,8,0,0,69,13,2,1,684.0
8432,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454.0,0.0,171.0,8.0,19.0,32.0,12,9,2,8,8,0,0,69,13,2,1,684.0
453,1956,PhD,Widow,35340.0,1,1,2014-06-29,1,27.0,0.0,12.0,0.0,1.0,5.0,2,2,0,3,5,0,0,69,11,2,1,45.0
9687,1975,Graduation,Single,73170.0,0,0,2014-05-31,1,184.0,120.0,256.0,50.0,30.0,32.0,1,5,4,6,2,0,0,50,11,0,0,672.0
8890,1971,PhD,Divorced,65808.0,1,1,2014-05-30,1,155.0,7.0,80.0,13.0,7.0,10.0,3,5,1,5,6,0,0,54,11,2,1,272.0
9264,1986,Graduation,Married,79529.0,0,0,2014-04-27,1,423.0,42.0,689.0,73.0,125.0,172.0,1,4,8,9,2,0,0,39,11,0,0,1524.0
